"","Nu_Optimal","Eps_Optimal","Scale_Optimal","C2"
"95%",0.783373538859631,0.599870575968911,2.7737339859775,23.9910447347923
"95%",0.781388233407498,0.607417290411511,2.76100104807449,24.1981119202241
"95%",0.780604206834062,0.61041119683342,2.72805881477291,24.3927204866877
"95%",0.781766566689362,0.605975336463743,2.75153261662292,24.2615496796517
"95%",0.777581481832687,0.622026536040886,2.69327929447831,24.831105971486
"95%",0.782082816206441,0.604771380233071,2.75970352456392,24.0777893105383
"95%",0.783883585722745,0.597939673948226,2.76522116181438,23.9861109989771
"95%",0.775704864457675,0.629296316765703,2.6478261786777,25.2324011716386
"95%",0.779068434687313,0.616298192540747,2.72038176472917,24.5594251657594
"95%",0.778179339615363,0.619719965502657,2.68966351700631,24.7409297554315
"95%",0.778493804122714,0.61850856909489,2.68684001369122,24.8660180854521
"95%",0.78033714318242,0.611432779499485,2.72594127010028,24.4893189760185
"95%",0.783284761094036,0.600206995425421,2.79534217010935,23.9447039148634
"95%",0.779394229190782,0.615046849811604,2.71068640236086,24.6925061289659
"95%",0.779599931419793,0.614257461029506,2.71260364482794,24.6298468633814
"95%",0.78133015346695,0.607638811313484,2.75536808421381,24.4064419274088
"95%",0.78180746069888,0.605819583218262,2.76071247321841,24.1808757416722
"95%",0.777140253625089,0.623731744639926,2.70696037889974,24.8428945100902
"95%",0.77875494373824,0.617503548735804,2.74471768138172,24.433825024306
"95%",0.780942602203401,0.609118042818971,2.75293533791521,24.2491875322917
"95%",0.784338736180096,0.596219321254056,2.7815940567111,23.9993485434429
"95%",0.774713198134479,0.633156181325276,2.65673458749968,25.1477933428194
"95%",0.776524222941898,0.626116674186133,2.66243861536827,25.0734213694332
"95%",0.778122581321231,0.619938746744685,2.74347047329177,24.6002457081383
"95%",0.780431685485471,0.611071029721843,2.71805962538744,24.5281160123545
"95%",0.77988063865056,0.613181101423281,2.71186731091617,24.4580188186244
"95%",0.999995000026162,9.99999999947109e-06,3.10347973380047,21.5672878011786
"95%",0.776293400624416,0.627011542494257,2.68174929113527,25.0021405034531
"95%",0.774579175218757,0.633678812493936,2.6351785062869,25.3535053560005
"95%",0.780120766670639,0.61226113088923,2.77208522421976,24.1455926459979
"95%",0.781055578586611,0.608686632185183,2.74095720111452,24.3551578427546
"95%",0.777371906109243,0.622836170446808,2.67029707101539,24.9203644277287
"95%",0.778385304658309,0.61892639425292,2.69269931287346,24.8574507684533
"95%",0.999995000032108,9.99999999918959e-06,3.0906956704249,21.6382040496423
"95%",0.774348803632416,0.634577704420752,2.64623212322834,25.3942533136582
"95%",0.783666919549951,0.598759519719633,2.78845322609345,23.9089116489866
"95%",0.770461107551537,0.649851362656885,2.59677701488989,25.8258414886823
