"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"SVs",0.194174757281553,0.336569579288026,0.441208198489752,0.560949298813377,0.659115426105717,0.785329018338727,0.877022653721683,0.984897518878101,0.992448759439051,0.997842502696872,NA,0.66235167206041
"SVs",0.195253505933118,0.330097087378641,0.449838187702265,0.558791801510248,0.667745415318231,0.78101402373247,0.883495145631068,0.983818770226537,0.994606256742179,0.997842502696872,NA,0.638619201725998
"SVs",0.186623516720604,0.331175836030205,0.446601941747573,0.570658036677454,0.67529665587918,0.78856526429342,0.888888888888889,0.98705501618123,0.996763754045307,0.997842502696872,NA,0.648327939590076
"SVs",0.19848975188781,0.335490830636462,0.448759439050701,0.563106796116505,0.664509169363538,0.785329018338727,0.877022653721683,0.984897518878101,0.997842502696872,0.997842502696872,NA,0.638619201725998
"SVs",0.201725997842503,0.341963322545847,0.457389428263215,0.567421790722762,0.669902912621359,0.779935275080906,0.893203883495146,0.991370010787487,0.993527508090615,0.996763754045307,NA,0.652642934196332
"SVs",0.200647249190939,0.338727076591154,0.447680690399137,0.562028047464941,0.667745415318231,0.770226537216828,0.889967637540453,0.978425026968716,0.996763754045307,0.997842502696872,NA,0.670981661272923
"SVs",0.201725997842503,0.320388349514563,0.432578209277238,0.562028047464941,0.679611650485437,0.789644012944984,0.879180151024811,0.990291262135922,0.996763754045307,0.995685005393743,NA,0.663430420711974
"SVs",0.196332254584682,0.329018338727077,0.447680690399137,0.565264293419633,0.665587918015103,0.772384034519957,0.892125134843581,0.981661272923409,0.997842502696872,0.996763754045307,NA,0.66235167206041
"SVs",0.186623516720604,0.330097087378641,0.453074433656958,0.562028047464941,0.669902912621359,0.771305285868393,0.874865156418554,0.984897518878101,0.996763754045307,0.996763754045307,NA,0.654800431499461
"SVs",0.197411003236246,0.331175836030205,0.460625674217907,0.566343042071197,0.677454153182309,0.778856526429342,0.884573894282632,0.996763754045307,0.994606256742179,0.996763754045307,NA,0.644012944983819
"SVs",0.199568500539374,0.331175836030205,0.454153182308522,0.565264293419633,0.672060409924488,0.776699029126214,0.877022653721683,0.984897518878101,0.993527508090615,0.996763754045307,NA,0.648327939590076
"SVs",0.190938511326861,0.339805825242718,0.45091693635383,0.563106796116505,0.676375404530744,0.78101402373247,0.889967637540453,0.97950377562028,0.995685005393743,0.996763754045307,NA,0.652642934196332
"SVs",0.19848975188781,0.32470334412082,0.451995685005394,0.564185544768069,0.668824163969795,0.783171521035599,0.89428263214671,0.992448759439051,0.994606256742179,0.995685005393743,NA,0.644012944983819
"SVs",0.195253505933118,0.325782092772384,0.45091693635383,0.562028047464941,0.673139158576052,0.785329018338727,0.898597626752967,0.983818770226537,0.995685005393743,0.998921251348436,NA,0.653721682847896
"SVs",0.199568500539374,0.322545846817691,0.449838187702265,0.565264293419633,0.659115426105717,0.784250269687163,0.89428263214671,0.983818770226537,0.995685005393743,0.998921251348436,NA,0.680690399137001
"SVs",0.192017259978425,0.333333333333333,0.454153182308522,0.560949298813377,0.668824163969795,0.779935275080906,0.882416396979504,0.978425026968716,0.994606256742179,0.994606256742179,NA,0.658036677454153
"SVs",0.194174757281553,0.333333333333333,0.442286947141316,0.564185544768069,0.66235167206041,0.786407766990291,0.883495145631068,0.990291262135922,0.994606256742179,0.997842502696872,NA,0.653721682847896
"SVs",0.18554476806904,0.327939590075512,0.447680690399137,0.557713052858684,0.666666666666667,0.779935275080906,0.89428263214671,0.992448759439051,0.998921251348436,0.995685005393743,NA,0.655879180151025
"SVs",0.188781014023732,0.329018338727077,0.444444444444444,0.545846817691478,0.667745415318231,0.776699029126214,0.884573894282632,0.976267529665588,0.997842502696872,0.998921251348436,NA,0.663430420711974
"SVs",0.190938511326861,0.322545846817691,0.441208198489752,0.560949298813377,0.681769147788565,0.777777777777778,0.892125134843581,0.981661272923409,0.995685005393743,0.998921251348436,NA,0.644012944983819
