,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
TotalEps,9.538229517,5.885490801,4.048620409,2.701122505,1.602803961,0.846230866,0.30066194,0.017463321,0.000416333,9.56E-05,NA,0.625910202
TotalEps,9.656123367,6.032001971,4.219787807,2.984811942,1.823812774,0.941380237,0.281242711,0.029877153,0.000561491,0.000233238,NA,0.609956334
TotalEps,9.806808181,5.965942216,4.117151439,2.818221583,1.660287892,0.890333634,0.296112941,0.010320457,0.000372106,0.000129,NA,0.616892301
TotalEps,9.97993202,6.071593484,4.082706255,2.894478183,1.794411442,0.943262892,0.325186963,0.02259518,7.63E-06,0.000138899,NA,0.619343964
TotalEps,10.23702957,6.063601051,4.220243488,2.858775963,1.830465483,0.982280385,0.312801058,0.026881439,0.000138728,0.000433506,NA,0.610723755
TotalEps,9.51425415,5.654944143,3.839899746,2.704735015,1.661714642,0.938246282,0.298184466,0.000497408,0.000547063,0.000477534,NA,0.640651767
TotalEps,9.90123141,5.840389773,3.96925707,2.668425464,1.620389085,0.837618235,0.320819718,0.025433596,0.00020735,0.000297571,NA,0.614688257
TotalEps,9.856623942,5.862063613,4.09628854,2.79139932,1.746323479,0.937403354,0.408396882,0.021046371,0.000184737,8.94E-07,NA,0.63355879
TotalEps,9.712301512,6.098802633,4.041503851,2.713228074,1.734180734,0.868523904,0.271818304,0.006617571,0.000210009,0.000120289,NA,0.621476191
TotalEps,9.957189356,6.137076999,4.054236926,2.724530978,1.707947724,0.859822335,0.278939397,0.019023838,0.000588045,0.000305995,NA,0.616822202
TotalEps,10.03817511,6.112349463,4.032954679,2.819572257,1.788575405,0.927941182,0.37027786,0.029547371,0.000619637,0.000210504,NA,0.613977893
TotalEps,10.0018835,6.103374224,4.154370842,2.876862653,1.734746107,1.013611403,0.417526355,0.034246506,0.000426926,0.000468661,NA,0.626909363
TotalEps,10.19865386,6.182896813,4.173777191,2.805375435,1.633229712,0.900994803,0.290454206,0.017822255,0.000160289,7.74E-05,NA,0.609257396
TotalEps,10.00628154,6.118587627,4.047929231,2.77789371,1.666695485,0.866990259,0.292464151,0.005449943,0.000184609,0.000293983,NA,0.610556685
TotalEps,9.747201205,6.049469969,4.158742117,2.899126063,1.73354607,0.877782759,0.315104978,0.023709517,0.000101355,0.000350964,NA,0.613809439
TotalEps,10.06503561,6.026378328,4.091491354,2.761746553,1.65057738,0.944656198,0.344897944,0.032582897,0.000364925,0.000147193,NA,0.619594468
TotalEps,9.957360811,6.130824962,4.212236244,2.988132647,1.732167988,0.87093101,0.323834061,0.01994152,2.11E-05,0.000271073,NA,0.611849656
TotalEps,10.16975351,6.044154122,4.132084629,2.87571991,1.738902569,1.027743643,0.390020574,0.000512201,0.000164533,0.000231658,NA,0.602174646
TotalEps,10.7314201,6.56049811,4.41393595,3.073110289,1.991774462,1.093880127,0.445376485,0.046873491,0.000566616,0.000176848,NA,1.00E-05
TotalEps,10.09986205,6.085361673,4.102849599,2.74369945,1.597197992,0.906396183,0.316784579,0.025779,0.000139478,3.84E-05,NA,0.604206754
TotalEps,10.18028276,6.217863816,4.26167126,3.006887644,1.902278474,0.961164136,0.34148603,0.031561918,0.000401267,0.000323292,NA,0.579209846
TotalEps,9.922541597,6.037572129,4.09741513,2.891173287,1.74482101,0.877108733,0.338671101,0.029852902,0.000330206,0.000111129,NA,0.610754431
TotalEps,10.26104169,6.251563931,4.165894204,2.914043818,1.898549904,1.032403338,0.431014978,0.038197485,6.68E-05,0.00026747,NA,1.00E-05
TotalEps,9.834539666,6.03562533,4.023871033,2.788278023,1.67550555,0.944886267,0.34554768,0.034501856,0.000146431,0.000221932,NA,0.616755728
TotalEps,9.789679977,5.672681654,3.854705354,2.591843719,1.496492523,0.800214281,0.280206389,0.014402421,2.06E-05,0.000107486,NA,0.635591481
TotalEps,9.979252763,6.127446654,4.149439523,2.846263517,1.671739931,0.974130378,0.331821442,0.019912386,0.000500689,7.68E-05,NA,0.613406866
TotalEps,9.817507506,6.12466976,4.171332477,2.82790872,1.808163595,0.93726197,0.316336179,0.013456816,0.00029081,7.56E-05,NA,0.607681913
TotalEps,9.976491645,5.922590613,4.091984035,2.857163336,1.813121868,0.922929391,0.321441841,0.026025736,0.000211812,0.000344732,NA,0.61390794
