,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
MSE,7.207375103,6.078264144,5.731118389,5.480677011,5.287047506,5.139918661,5.047473021,4.971780256,4.965647604,4.965661551,NA,4.894420008,8.904196411,8.567906376,9.188164964
MSE,7.742521818,6.310464592,5.811652912,5.562866983,5.507162611,5.476588724,5.461946766,5.421797259,5.413084792,5.412904764,NA,4.943268228,9.630643116,9.692606843,8.5194347
MSE,8.158387787,7.287547372,7.032686432,6.936790225,6.878146814,6.767689797,6.734104873,6.803260742,6.803310104,6.803417486,NA,6.426776663,10.61104814,8.063860513,9.846156804
MSE,7.166357286,6.439534903,6.328936702,6.240937253,6.182480212,6.19267565,6.167250352,6.159890619,6.159358294,6.159289608,NA,5.827980019,10.82058944,10.26336578,10.12869713
MSE,7.64097925,6.456270743,6.10120422,5.957395979,5.859179869,5.849264391,5.86132659,5.918776286,5.922877328,5.922909336,NA,5.694922388,10.66593395,7.98448404,9.561600316
MSE,7.72304643,6.762396636,6.411168178,6.317238161,6.150274005,6.009970869,6.018068445,6.002830072,6.003278268,6.003238369,NA,5.268394723,10.12462249,8.437393824,8.954772589
MSE,7.396174369,6.153126909,5.902164958,5.824767289,5.78464686,5.718102112,5.688873387,5.705636007,5.706008199,5.706019453,NA,5.322172659,9.940854655,8.327862414,9.325177592
MSE,7.378823823,5.815881146,5.547638314,5.45261559,5.363686598,5.3543526,5.288793547,5.2373763,5.236013827,5.236100901,NA,4.753095322,9.846872562,7.740961527,8.483856305
MSE,7.342590124,6.682524919,6.274249417,6.125923705,5.997908275,5.906418287,5.801693124,5.797073506,5.791355697,5.791339587,NA,5.822670833,10.19949293,9.844861456,9.586851561
MSE,7.412511971,6.028954207,5.422608707,5.116826908,5.070150312,4.980270399,4.962171737,4.954013871,4.953086512,4.953108478,NA,4.634837455,7.930294361,9.58512481,8.803243564
MSE,7.306838955,6.332518682,6.078166877,5.996278966,5.89015726,5.79645035,5.748561121,5.69417096,5.693502831,5.693528252,NA,5.209248778,10.74640179,8.97093675,8.537996216
MSE,8.41361428,7.375561917,6.932079208,6.793894189,6.764447733,6.634579601,6.674475865,6.652846259,6.649428798,6.649367134,NA,6.338479109,10.03465844,10.4678317,9.368671047
MSE,7.915454429,6.991982322,6.687282314,6.573656038,6.651805107,6.58706182,6.560939315,6.55764947,6.558899736,6.558962831,NA,6.411562582,11.45142514,9.005654552,9.832016461
MSE,7.14895769,6.180875104,5.793602734,5.719282131,5.550260902,5.428408188,5.36289421,5.346315328,5.343429118,5.343308095,NA,5.141551357,10.57000679,9.082588337,9.014682178
MSE,8.173171252,6.929747881,6.61670713,6.404161014,6.077721237,5.883061554,5.718842542,5.647245077,5.647205302,5.647182218,NA,5.64121073,10.28736513,8.955774125,8.64341875
MSE,7.683065398,6.526176022,6.032559681,5.823343374,5.811607267,5.7571213,5.732388517,5.728878152,5.731931082,5.731868952,NA,5.220535361,9.994385567,8.8136745,9.912215061
MSE,8.524716093,7.095696745,6.571494212,6.405256102,6.232563396,6.105703848,6.116349192,6.110087568,6.114987691,6.115017828,NA,5.750668039,10.95161845,9.243620746,9.631313358
