,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
MAE,6.63418445,5.108359594,4.457142629,4.132917312,3.897913377,3.739518331,3.660647949,3.63999377,3.646721819,3.646866358,NA,3.51985638,7.86600534,6.972302562,7.147384533
MAE,6.041816004,5.165474017,4.747961856,4.43645646,4.219244896,4.097681676,3.992289153,3.959201957,3.956424895,3.9562961,NA,3.637858412,8.563257193,7.414265182,7.467532721
MAE,6.767901784,5.559061075,5.204362293,4.987474699,4.780885981,4.578979267,4.486178884,4.467212117,4.467189344,4.467137653,NA,4.015599085,9.683820253,8.003071903,7.494628998
MAE,6.342288978,5.373453613,4.749883573,4.436160627,4.22250504,4.014282026,3.885253849,3.806954418,3.807802081,3.807830098,NA,3.65123381,8.364961218,7.22207462,6.471825322
MAE,6.197343794,4.664145479,4.220379374,4.020331853,3.839712204,3.71114412,3.583575554,3.515930292,3.512432522,3.512445487,NA,3.100547318,8.151129617,6.108831574,6.855005585
MAE,5.967911725,4.988428314,4.659757927,4.382245066,4.080923416,3.934246479,3.826837538,3.78475704,3.78606374,3.786144829,NA,4.212971346,7.700345277,7.571548515,6.482728626
MAE,6.178872285,5.586510418,5.204590833,4.946775671,4.890076068,4.73727385,4.62920058,4.610227195,4.612663662,4.612669999,NA,4.416540075,8.64319909,7.297848723,7.088654152
MAE,5.504880622,4.389695852,4.072861109,3.840166455,3.650077514,3.541623183,3.42701434,3.387480244,3.385555615,3.385585143,NA,3.335769478,7.378496076,6.774637584,6.293393987
MAE,6.728770518,5.593729857,5.044077956,4.691441187,4.473309205,4.331254121,4.326123335,4.339581791,4.344305316,4.344325186,NA,3.769987752,8.077546993,6.803535981,7.280124884
MAE,5.980637636,4.623714595,4.28236904,4.117261105,3.821302146,3.499430245,3.275553631,3.198877785,3.185730254,3.185668429,NA,2.974773813,8.039428703,7.032700914,7.557849403
MAE,6.535254981,5.280941419,4.787904957,4.513724546,4.392463746,4.248845016,4.155833758,4.158592938,4.158548672,4.158542161,NA,3.960717404,9.15954495,6.613207822,6.944495712
MAE,6.583633791,5.797517499,5.42226121,5.190200292,4.913483273,4.66254716,4.51843995,4.463228661,4.463062343,4.463076819,NA,4.529144609,8.420750561,7.127338382,7.11161131
MAE,6.306851763,4.973014908,4.628532963,4.420849473,4.201502438,4.163121308,4.121217133,4.070189334,4.069172002,4.069115773,NA,3.834991363,8.341539002,6.92980565,7.503897705
MAE,6.18146639,5.178968443,4.700075912,4.382061819,4.116405072,3.876678327,3.714019153,3.622500419,3.620533141,3.62051821,NA,3.668686367,7.777252916,7.159177421,7.18627003
MAE,6.352931847,5.177985543,4.518693088,4.230376608,4.025377796,3.948036156,3.971450103,3.938388601,3.943217023,3.943281278,NA,3.402323658,8.380467242,7.47044359,6.984608497
MAE,5.888107741,5.14349329,4.761014936,4.530655654,4.399834171,4.362306693,4.285587149,4.294042009,4.292607001,4.292633197,NA,4.227842712,7.877136013,7.054727149,7.206025727
MAE,5.833626863,5.097953784,4.708636583,4.374538144,3.959743058,3.74938126,3.633034498,3.644648671,3.647182849,3.647236974,NA,3.547146341,7.716255268,6.239154596,6.743936503
