"","Nu_Optimal","Eps_Optimal","Scale_Optimal","C2"
"95%",0.780446708260214,0.611013558042033,2.75549594288977,24.2909595917621
"95%",0.778546768845931,0.61830465935343,2.71770959713158,24.6078917492089
"95%",0.777488241146526,0.622386674883242,2.68957977617756,24.8652611699237
"95%",0.778870436452248,0.617059340293026,2.68196765947362,24.7306866246917
"95%",0.777972836822372,0.620516150621967,2.72038331295671,24.7203145290981
"95%",0.77841704540544,0.618804146988003,2.70807806215188,24.6954120365564
"95%",0.776532826363361,0.626083333039531,2.68167366798611,25.0082448019724
"95%",0.7808174909691,0.60959597872639,2.73319728736088,24.4442699698688
"95%",0.776791165410787,0.62508262432569,2.6925490236302,24.8378406428544
"95%",0.779497704354535,0.614649693697681,2.70256717876924,24.5421842776191
"95%",0.782580792577207,0.602878128321013,2.72537430908084,24.2059864821465
"95%",0.771092409871866,0.647357708711225,2.60336116623308,25.6633667428613
"95%",0.781899130105756,0.60547051751703,2.75742377425806,24.2739767564417
"95%",0.776428244246375,0.626488688198542,2.69833043586873,24.8055759644021
"95%",0.777068589036283,0.624008940611352,2.68892851575819,24.8923094131146
"95%",0.782898909804847,0.601670301828823,2.75934525819596,24.1161470977019
"95%",0.778353611699946,0.61904847024274,2.68815890443683,24.8784041232156
"95%",0.999995000039884,1e-05,3.11931104934705,21.4010222825815
"95%",0.777411570525487,0.622682895576921,2.68028409418588,24.8738116845969
"95%",0.775608392355355,0.629671258862638,2.66825717294008,25.0187448010575
"95%",0.77962708212223,0.614153309338796,2.76485642896376,24.2506163682175
"95%",0.77953302553498,0.614514155729256,2.71819772889708,24.4010584730024
"95%",0.777131088545012,0.623767191167864,2.67791071552093,24.7681527765564
"95%",0.999706276758427,0.000587676623939308,3.12292098979916,21.4149201310088
"95%",0.999995000024419,9.99999999948852e-06,3.08814616818101,21.5484541585661
"95%",0.785357326881901,0.592378596322057,2.76511263284019,23.8124374210796
"95%",0.78136751950264,0.607496289818227,2.73680968314188,24.3807303315215
"95%",0.780462914441701,0.610951562265972,2.70091720144591,24.6378438051991
"95%",0.778194488736079,0.619661578440937,2.7045397113346,24.7277210579387
"95%",0.780105202111304,0.612320739256754,2.73070997628554,24.4907383621053
"95%",0.774249622573489,0.634964912646114,2.62103921716092,25.4902757409068
"95%",0.781839126590472,0.605698991545469,2.74354526975594,24.3520721562965
"95%",0.783388191232166,0.599815060870238,2.7882196559923,23.9311916154009
"95%",0.775224108514692,0.63116598048499,2.64856207593998,25.1717271139809
"95%",0.999995000039884,1e-05,3.12359787297004,21.3038870066609
"95%",0.781002015030367,0.60889114951677,2.71510804574183,24.5547803979877
"95%",0.776770504644349,0.625162624946613,2.67566111336238,24.9946090848398
"95%",0.781211113725218,0.608092969419105,2.74524644296353,24.4238446219857
"95%",0.78158066152199,0.606683658646625,2.76361374489389,24.1944454606589
"95%",0.779349560558814,0.615218337855128,2.71901691156658,24.5516844670586
"95%",0.779299718398172,0.615409717491664,2.70072429611081,24.7381831864045
"95%",0.781909584311698,0.605430715884212,2.74749046892209,24.1848191197071
"95%",0.999995000042694,9.9999999999719e-06,3.07592098461322,21.4794326741484
"95%",0.774986812927021,0.632089922952966,2.66155160746667,25.1483534702937
"95%",0.781718221066937,0.606159497730095,2.73843185130474,24.3456421193156
"95%",0.774482984312089,0.63405405841153,2.65593535201812,25.2015323163421
"95%",0.778202717448644,0.619629864929903,2.68789779064707,24.9018548387165
"95%",0.780324159015615,0.611482469967031,2.72811488081315,24.4809273559966
"95%",0.776836127738971,0.624908544437032,2.68816703768025,24.9339862160651
"95%",0.785535722649273,0.591707250611434,2.82566726147063,23.6357561014599
"95%",0.777049174021828,0.624084048472935,2.64583054263273,25.1508080611181
"95%",0.772876521921775,0.640338685268974,2.63446043473157,25.3604159289528
"95%",0.777266804955149,0.623242409116511,2.66615167843918,24.959111170658
"95%",0.77863035747205,0.617982922659703,2.69430024169728,24.776913960905
"95%",0.77278740482675,0.640688301536146,2.60625059278519,25.6349149840439
"95%",0.782051674427772,0.604889880867225,2.7526847318876,24.2712184214965
"95%",0.780652175634769,0.610227799799027,2.74569168154709,24.3330352137415
"95%",0.779731381916209,0.613753295866525,2.70835896132762,24.6159695859959
"95%",0.999995000039884,1e-05,3.10907630279318,21.4890230622966
"95%",0.772799499391816,0.640640847143695,2.6213260386869,25.5255877782825
"95%",0.7734748286281,0.637994138703268,2.65084030024922,25.3688353574817
"95%",0.780131520939777,0.612219946515037,2.72598166385247,24.5332184213911
"95%",0.777103294329425,0.623874693624472,2.69102142658588,24.8519402005831
"95%",0.781517738862682,0.606923500051165,2.74138368685315,24.265102080752
"95%",0.784222048842148,0.59666012486806,2.78690559633405,23.9731882059611
